Subject,Start Date,Start Time,End Time,Location
Study Room,11/15/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,11/15/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,11/16/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,11/19/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,11/19/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,11/19/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,11/20/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,11/20/2019,12:00 PM,2:00 PM,Room #334 Curry Student Center
Study Room,11/20/2019,2:00 PM,4:00 PM,Room #334 Curry Student Center
Study Room,11/26/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,11/26/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,11/26/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,11/27/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,11/27/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,11/27/2019,2:00 PM,4:00 PM,Room #336 Curry Student Center
Study Room,11/28/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,11/28/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
Study Room,11/28/2019,2:00 PM,4:00 PM,Room #335 Curry Student Center
Study Room,11/29/2019,10:00 AM,12:00 PM,Room #335 Curry Student Center
Study Room,11/29/2019,12:00 PM,2:00 PM,Room #336 Curry Student Center
